basecode_row,row_name,sector_row,basecode_column,col_name,sector_column,sector_ind,sector_name,Va_index,Va_name,Va_dict,FD_index,FD_name,FD_dict,BR_ind,BR_name,Energy.IND,Sector_BR.N,Sector_BR
343,부동산 개발 및 공급,37,343,부동산 개발 및 공급,37,,,,,,,,,,,,,
344,부동산관련서비스,37,344,부동산관련서비스,37,,,,,,,,,,,,,
345,기계장비 및 용품 임대,37,345,기계장비 및 용품 임대,37,,,,,,,,,,,,,
346,연구개발(국공립),38,346,연구개발(국공립),38,,,,,,,,,,,,,
347,연구개발(비영리)? ,37,347,연구개발(비영리)? ,37,,,,,,,,,,,,,
348,연구개발(산업),37,348,연구개발(산업),37,,,,,,,,,,,,,
349,기업내연구개발,37,349,기업내연구개발,37,,,,,,,,,,,,,
350,법무 및 회계 서비스,37,350,법무 및 회계 서비스,37,,,,,,,,,,,,,
351,시장조사 및 경영컨설팅,37,351,시장조사 및 경영컨설팅,37,,,,,,,,,,,,,
352,광고,37,352,광고,37,,,,,,,,,,,,,
353,건축 · 토목관련서비스,37,353,건축 · 토목관련서비스,37,,,,,,,,,,,,,
354,공학관련서비스,37,354,공학관련서비스,37,,,,,,,,,,,,,
355,과학기술서비스,37,355,과학기술서비스,37,,,,,,,,,,,,,
356,기타 전문서비스,37,356,기타 전문서비스,37,,,,,,,,,,,,,
357,청소소독 및 시설유지,37,357,청소소독 및 시설유지,37,,,,,,,,,,,,,
358,인력공급 및 알선,37,358,인력공급 및 알선,37,,,,,,,,,,,,,
359,기타 사업지원서비스,37,359,기타 사업지원서비스,37,,,,,,,,,,,,,
360,중앙정부,38,360,중앙정부,38,,,,,,,,,,,,,
361,지방정부,38,361,지방정부,38,,,,,,,,,,,,,
362,교육서비스(국공립),38,362,교육서비스(국공립),38,,,,,,,,,,,,,
363,교육서비스(비영리),37,363,교육서비스(비영리),37,,,,,,,,,,,,,
364,교육서비스(산업),37,364,교육서비스(산업),37,,,,,,,,,,,,,
365,의료 및 보건(국공립),38,365,의료 및 보건(국공립),38,,,,,,,,,,,,,
366,의료 및 보건(비영리),37,366,의료 및 보건(비영리),37,,,,,,,,,,,,,
367,의료 및 보건(산업),37,367,의료 및 보건(산업),37,,,,,,,,,,,,,
368,사회보험(국공립),38,368,사회보험(국공립),38,,,,,,,,,,,,,
369,사회복지서비스(국공립),38,369,사회복지서비스(국공립),38,,,,,,,,,,,,,
370,사회복지서비스(비영리),37,370,사회복지서비스(비영리),37,,,,,,,,,,,,,
371,문화서비스(국공립),38,371,문화서비스(국공립),38,,,,,,,,,,,,,
372,"연극, 음악 및 기타예술",37,372,"연극, 음악 및 기타예술",37,,,,,,,,,,,,,
373,기타 문화서비스,37,373,기타 문화서비스,37,,,,,,,,,,,,,
374,스포츠서비스,37,374,스포츠서비스,37,,,,,,,,,,,,,
375,오락서비스,37,375,오락서비스,37,,,,,,,,,,,,,
376,산업 및 전문가 단체,37,376,산업 및 전문가 단체,37,,,,,,,,,,,,,
377,기타 사회단체,37,377,기타 사회단체,37,,,,,,,,,,,,,
378,자동차 수리서비스,37,378,자동차 수리서비스,37,,,,,,,,,,,,,
379,기계장비 수리,37,379,기계장비 수리,37,,,,,,,,,,,,,
380,개인 및 가정용품 수리서비스,37,380,개인 및 가정용품 수리서비스,37,,,,,,,,,,,,,
381,미용관련서비스,37,381,미용관련서비스,37,,,,,,,,,,,,,
382,세탁,37,382,세탁,37,,,,,,,,,,,,,
383,가사서비스,37,383,가사서비스,37,,,,,,,,,,,,,
384,기타 개인서비스,37,384,기타 개인서비스,37,,,,,,,,,,,,,
385,소계,54,385,중간수요계,54,,,,,,,,,,,,,
386,순생산물세,55,386,민간소비지출,55,,,,,,,,,,,,,
387,잔폐물발생,56,387,정부소비지출,56,,,,,,,,,,,,,
388,중간투입계,57,388,"민간고정
자본형성",57,,,,,,,,,,,,,
389,피용자보수,58,389,"정부고정
자본형성",58,,,,,,,,,,,,,
390,영업잉여,59,390,재고증감,59,,,,,,,,,,,,,
391,고정자본소모,60,391,"귀중품
순취득",60,,,,,,,,,,,,,
392,기타생산세,61,392,수출,61,,,,,,,,,,,,,
393,부가가치계,62,393,최종수요계,62,,,,,,,,,,,,,
394,총투입계,63,394,총수요계,63,,,,,,,,,,,,,
,,,395,총산출,64,,,,,,,,,,,,,
,,,396,자가공정산출,65,,,,,,,,,,,,,
,,,397,수입,66,,,,,,,,,,,,,
,,,398,잔폐물발생액,67,,,,,,,,,,,,,
,,,399,"총공급계
(기초가격)",68,,,,,,,,,,,,,
,,,400,생산물세(국산),69,,,,,,,,,,,,,
,,,401,생산물세(수입),70,,,,,,,,,,,,,
,,,402,"생산물보조금
(차감)",71,,,,,,,,,,,,,
,,,403,도소매마진,72,,,,,,,,,,,,,
,,,404,화물운임,73,,,,,,,,,,,,,
,,,405,가격전환계,74,,,,,,,,,,,,,
,,,406,"총공급계
",75,,,,,,,,,,,,,
